variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-07 16:00:00+00:00,3.432842,7.1243773,101963.46,277.18613,0.715441
2015-01-07 17:00:00+00:00,3.7781217,7.35414,101989.875,276.65857,0.7155353
2015-01-07 18:00:00+00:00,3.9652636,7.325801,102006.39,276.2307,0.7155928
2015-01-07 19:00:00+00:00,3.7874072,7.026755,102008.516,275.91986,0.71559507
2015-01-07 20:00:00+00:00,3.7073042,6.9918294,101986.26,275.3445,0.71558356
2015-01-07 21:00:00+00:00,3.8669903,7.41359,101956.96,274.88483,0.715602
2015-01-07 22:00:00+00:00,4.0889487,7.933664,101953.766,274.45764,0.7155422
2015-01-07 23:00:00+00:00,4.221368,8.107409,101934.484,274.20633,0.715579
2015-01-08 00:00:00+00:00,4.3051205,8.117718,101911.69,274.10873,0.715579
2015-01-08 01:00:00+00:00,4.380076,8.022449,101886.66,274.0651,0.7155583
2015-01-08 02:00:00+00:00,4.4337277,8.004343,101822.43,274.15512,0.7155307
2015-01-08 03:00:00+00:00,4.526368,8.134398,101780.35,274.60513,0.71550536
2015-01-08 04:00:00+00:00,4.6179953,8.067211,101711.54,274.94022,0.7154525
2015-01-08 05:00:00+00:00,4.613392,8.09027,101649.65,274.85574,0.7153789
2015-01-08 06:00:00+00:00,4.53336,8.123323,101591.7,274.9388,0.71530986
2015-01-08 07:00:00+00:00,4.6178117,8.201419,101582.65,275.04614,0.71516037
2015-01-08 08:00:00+00:00,4.600191,8.250105,101595.33,275.3272,0.71513504
2015-01-08 09:00:00+00:00,4.7552114,8.531405,101515.01,275.89978,0.7155882
2015-01-08 10:00:00+00:00,4.884528,8.588243,101439.805,276.2556,0.71545476
2015-01-08 11:00:00+00:00,5.239064,9.1022005,101343.83,276.94934,0.71537656
2015-01-08 12:00:00+00:00,5.0759344,8.789568,101253.4,277.6022,0.7152501
2015-01-08 13:00:00+00:00,4.920167,8.632903,101194.17,278.10205,0.71513504
2015-01-08 14:00:00+00:00,5.035677,8.749757,101121.2,278.4489,0.7151328
2015-01-08 15:00:00+00:00,5.2194157,9.034168,101048.664,278.67462,0.7152685
2015-01-08 16:00:00+00:00,5.237304,9.06021,100986.03,278.67877,0.71545017
2015-01-08 17:00:00+00:00,5.2110677,9.014213,100892.82,278.82208,0.7154525
2015-01-08 18:00:00+00:00,5.3727045,9.237435,100776.19,279.21326,0.7154594
2015-01-08 19:00:00+00:00,5.5752397,9.489711,100713.23,279.6141,0.715464
2015-01-08 20:00:00+00:00,5.7806363,9.630988,100711.2,279.84326,0.7154709
2015-01-08 21:00:00+00:00,6.8206015,10.977479,100836.9,279.5054,0.7155031
2015-01-08 22:00:00+00:00,6.9566,11.173624,101031.41,278.20383,0.7154755
2015-01-08 23:00:00+00:00,6.803518,11.2834835,101191.3,278.20245,0.7155077
2015-01-09 00:00:00+00:00,6.6813393,11.282151,101279.7,278.32916,0.7154525
2015-01-09 01:00:00+00:00,7.0769677,11.919074,101388.46,278.35614,0.71541566
2015-01-09 02:00:00+00:00,7.009156,11.837388,101450.99,278.2412,0.7154019
2015-01-09 03:00:00+00:00,6.997408,11.646671,101436.4,278.19968,0.71532595
2015-01-09 04:00:00+00:00,7.065632,11.741794,101321.99,278.4261,0.7152225
2015-01-09 05:00:00+00:00,7.4698553,12.292686,101211.96,278.69748,0.7150891
2015-01-09 06:00:00+00:00,7.136477,11.805845,101117.05,278.9287,0.71491426
2015-01-09 07:00:00+00:00,6.6808953,11.249711,100879.94,279.06372,0.71483606
2015-01-09 08:00:00+00:00,7.6621084,12.695866,100672.22,279.29703,0.71476245
2015-01-09 09:00:00+00:00,8.982712,14.575064,100435.96,279.73456,0.7145922
2015-01-09 10:00:00+00:00,8.865992,14.38229,100265.52,280.7246,0.7146244
2015-01-09 11:00:00+00:00,9.3340435,14.99977,100092.86,281.51038,0.7144404
2015-01-09 12:00:00+00:00,10.84678,17.228441,99932.44,281.72916,0.7142932
2015-01-09 13:00:00+00:00,11.400403,18.216291,99836.35,281.60178,0.71468425
2015-01-09 14:00:00+00:00,10.863032,17.513222,99852.016,281.13376,0.7155928
2015-01-09 15:00:00+00:00,10.089258,16.13621,99949.695,281.00983,0.7154985
2015-01-09 16:00:00+00:00,9.258612,14.915237,100022.98,280.0371,0.71554446
2015-01-09 17:00:00+00:00,8.762161,14.315593,100093.07,280.3909,0.7154985
2015-01-09 18:00:00+00:00,8.724723,14.218659,100072.83,280.16934,0.7154847
2015-01-09 19:00:00+00:00,8.698059,14.252761,100062.71,280.4719,0.71532595
2015-01-09 20:00:00+00:00,8.598941,14.160447,100106.28,280.58612,0.71512586
2015-01-09 21:00:00+00:00,8.450358,13.9133625,100084.336,280.3473,0.71486825
2015-01-09 22:00:00+00:00,7.0507746,11.850526,100042.58,280.31198,0.7146267
2015-01-09 23:00:00+00:00,6.6844573,11.174559,100062.07,280.20535,0.7146244
2015-01-10 00:00:00+00:00,5.7176905,9.803406,99947.56,279.90002,0.7145025
2015-01-10 01:00:00+00:00,5.028063,8.864033,99899.945,279.48325,0.7142472
2015-01-10 02:00:00+00:00,3.927245,7.389335,99877.9,279.1814,0.7149947
2015-01-10 03:00:00+00:00,3.426278,6.6792684,99821.87,279.04987,0.7153743
2015-01-10 04:00:00+00:00,3.7743278,7.2609944,99720.78,279.8045,0.7153789
2015-01-10 05:00:00+00:00,5.470588,9.732081,99660.81,281.66617,0.71541566
2015-01-10 06:00:00+00:00,6.9733157,11.740916,99613.836,283.6372,0.71550536
2015-01-10 07:00:00+00:00,7.325448,11.960115,99575.06,284.67017,0.7156112
2015-01-10 08:00:00+00:00,7.7404246,12.488108,99560.36,284.8564,0.7155974
2015-01-10 09:00:00+00:00,7.9706335,12.988394,99500.39,285.20673,0.71562266
2015-01-10 10:00:00+00:00,8.096399,13.2032795,99416.875,285.74603,0.7154686
2015-01-10 11:00:00+00:00,8.821085,14.378228,99309.08,286.19122,0.7156802
2015-01-10 12:00:00+00:00,9.545245,15.435983,99254.97,286.1199,0.71548927
